@relation twit_classification

@attribute first_person_pronouns numeric
@attribute second_person_pronouns numeric
@attribute thrid_person_pronouns numeric
@attribute coordinating_conjunctions numeric
@attribute past_tense_verbs numeric
@attribute future_tense_verbs numeric
@attribute commas numeric
@attribute colons_semicolons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute incorrect_ellipses numeric
@attribute common_singular_nouns numeric
@attribute common_plural_nouns numeric
@attribute proper_singular_nouns numeric
@attribute proper_plural_nouns numeric
@attribute adverb numeric
@attribute adverb_comparative numeric
@attribute adverb_superlative numeric
@attribute wh_words numeric
@attribute slang numeric
@attribute all_caps_words numeric
@attribute number_of_sentences numeric
@attribute average_sentence_length numeric
@attribute alltokens_not_punctuation_length numeric
@attribute twit {BarackObama.twt,StephenAtHome.twt,aplusk.twt,KimKardashian.twt,neiltyson.twt,shakira.twt}

@data
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5.66666666667,4.26666666667,BarackObama.twt
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5.0,5.92307692308,BarackObama.twt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.0,4.7,BarackObama.twt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.0,4.875,BarackObama.twt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.0,4.30769230769,BarackObama.twt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7.33333333333,5.19047619048,BarackObama.twt
0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10.5,3.94736842105,BarackObama.twt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,5.27272727273,BarackObama.twt
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.0,3.8275862069,BarackObama.twt
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,7.33333333333,5.5,BarackObama.twt
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4.0,4.16666666667,BarackObama.twt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.0,4.52631578947,BarackObama.twt
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5.0,5.5,BarackObama.twt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.66666666667,BarackObama.twt
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5.5,4.8,BarackObama.twt
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5.0,5.15384615385,BarackObama.twt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.0,4.9,BarackObama.twt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,4.72727272727,BarackObama.twt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,4.11111111111,BarackObama.twt
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.5,4.0,BarackObama.twt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.33333333333,4.47058823529,BarackObama.twt
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5.66666666667,3.8,BarackObama.twt
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14.0,4.23076923077,BarackObama.twt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.0,3.89285714286,BarackObama.twt
0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9.5,5.64705882353,BarackObama.twt
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,26.0,4.375,BarackObama.twt
